i	j	affiliation
LIMA JULIANA	2013_ST36	U. PARIS 1 CEESP
LIMA JULIANA	2013_ST50	U. PARIS 1
LIMA JULIANA	2015_ST52	CEESP
LINCONSTANT LEA	2017_ST26	IDEMEC CNRS, U. AIX MARSEILLE
LINDELL MARINA	2015_ST24	ABO AKADEMI FINLANDE
LINDEMANN THOMAS	2009_ST21	U. BORDEAUX IV
LINDEMANN THOMAS	2011_ST7	U. ARTOIS / CERAPS, U. LILLE 2
LINDEMANN THOMAS	2011_ST8	U. ARTOIS / CERAPS, U. LILLE 2
LINDEMANN THOMAS	2013_ST51	U. ARTOIS
LINDEMANN THOMAS	2015_ST32	NA
LINDEMANN THOMAS	2015_ST60	U. VERSAILLES SAINT QUENTIN
LINHARDT DOMINIQUE	2009_ST31	MINES PARISTECH
LINHARDT DOMINIQUE	2011_ST9	IMM GSPM / EHESS CNRS
LINHARDT DOMINIQUE	2017_ST68	CNRS LIER IMM
LLOBET AURELIE	2011_ST39	PARIS DAUPHINE, IRISSO
LLOBET AURELIE	2013_ST30	IRISSO, U. PARIS 9
LOBRY DOROTHEE	2011_ST21	U. DU LITTORAL
LODGE MARTIN	2009_ST45	LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (ROYAUME-UNI)
LOEZ ANDRE	2009_ST47	MONTPELLIER 3
LOISEL SEBASTIEN	2013_ST54	U. LIBRE BRUXELLES (BELGIQUE)
LOLOUM TRISTAN	2013_ST12	EHESS ET U. LAUSANNE (SUISSE)
LOMBARDO EMANUELA	2013_ST31	UNIVERSIDAD COMPLUTENSE DE MADRID)
LONCLE PATRICIA	2017_ST36	EHESP, CRAPE/ARENES
LONCLE PATRICIA	2017_ST51	EHESP, UMR CRAPE/ARENES
LOUAULT FREDERIC	2009_ST38	IHEAL / U. PARIS 3
LOUAULT FREDERIC	2011_ST40	CERI, SCIENCES PO PARIS
LOUEY SOPHIE	2015_ST10	CURAPP, UPJV
LOUEY SOPHIE	2017_ST48	CURAPP ESS, U. PICARDIE
LOUGHLIN JOHN	2009_ST39	NA
LOUIS JULIEN	2017_ST19	STRASBOURG, SAGE
LOUIS MARIEKE	2011_ST2	SCIENCES PO PARIS
LOUIS MARIEKE	2013_ST45	CERI, SCIENCES PO PARIS
LOUPSANS DELPHINE	2009_ST21	U. BORDEAUX IV
LOUVET ROMAIN	2015_ST4	ESPACE, UAPV
LOVELUCK BENJAMIN	2013_ST66	EHESS PARIS
LOVELUCK BENJAMIN	2015_ST7	U. PARIS 7 DENIS DIDEROT, GEOMEDIA
LOVETT JOHN	2013_ST23	FRANK R BAUMGARTNER U. NORTH CAROLINA AT CHAPEL HILL
LOZACH VALERIE	2011_ST27	IEP / U. STRASBOURG
LUCAS BARBARA	2009_ST22	U. GENEVE, SUISSE
LUCAS BARBARA	2009_ST27	U. GENEVE (SUISSE)
LUCAS BARBARA	2009_ST28	DEPARTEMENT DE SCIENCE POLITIQUE U. GENEVE (SUISSE)
LUCAS BARBARA	2015_ST38	HETS, GENEVE (SUISSE)
LUCK SIMON	2009_ST37	CRPS, U. PARIS 1
LUCK SIMON	2009_ST38	CRPS/PARIS 1
LUDL CHRISTINE	2009_ST13	U. WITWATERSRAND, FRENCH INSTITUTE OF SOUTH AFRICA, JOHANNESBURG
LUPO NICOLA	2015_ST43	LUISS, ROME
LUSKIN ROBERT	2015_ST24	ROBERT C LUSKIN THE U. TEXAS ETATS UNIS
LUSKIN ROBERT	2015_STPOPACT	ROBERT C LUSKIN U. TEXAS AT AUSTIN
MABI CLEMENT	2015_ST18	UTC COMPIEGNE
MABI CLEMENT	2017_ST1	NA
MABI CLEMENT	2017_ST43	UTC DE COMPIEGNE, COSTECH
MACH ANDRE	2009_ST33	IEPI, U. LAUSANNE (SUISSE)
MACHIKOU NADINE	2009_ST44	CURAPP, U. PICARDIE / U. YAOUNDE 2 (CAMEROUN)
MACLEOD ALEX	2015_ST52	ET DAN OMEARA U. QUEBEC MONTREAL (CANADA)
MADBOULY MAYADA	2017_ST49	U. PARIS 10, ISSP ISP, CNRS
MAERTENS LUCILE	2011_ST2	CERI, SCIENCES PO PARIS
MAERTENS LUCILE	2013_ST18	SCIENCES PO PARIS ET U. GENEVE (SUISSE)
MAERTENS LUCILE	2013_ST47	CERI, SCIENCES PO & U. GENEVE & IRSEM
MAERTENS LUCILE	2015_ST25	CERI, SCIENCES PO PARIS/U. GENEVE GSI
MAGNI BERTON RAUL	2015_STPOPACT	PACTE, U. GRENOBLE
MAGNI RAUL	2009_ST42	BERTON IEP BORDEAUX SPIRIT
MAGNI RAUL	2011_ST21	BERTON IEP GRENOBLE
MAGNI RAUL	2013_ST23	BERTON U. GRENOBLE, IEP, PACTE
MAGNON CYRIL	2011_ST8	PUJO U. PARIS 1
MAGNON CYRIL	2011_ST9	PUJO CESSP, U. PARIS 1
MAGUED SHAIMAA	2015_ST61	U. DU CAIRE
MAHBOULI SAMI	2017_ST35	CFA BLOIS
MAILLARD JACQUES	2009_ST20	U. ROUEN
MAILLARD JACQUES	2011_ST17	CESDIP, U. VERSAILLES SAINT QUENTIN
MAILLET ANTOINE	2011_ST15	U. CATOLICA SANTIAGO / CERI, SCIENCES PO PARIS
MAILLET ANTOINE	2013_ST16	CERI, SCIENCES PO PARIS
MAILLET ANTOINE	2015_ST32	INSTITUT DES AFFAIRES PUBLIQUES, U. CHILI (CHILI)
MAILLEUX SARAH	2011_ST35	CSPRP, U. PARIS 7
MAINGRAUD CYRIELLE	2015_ST6	IEP BORDEAUX
MAINSANT GWENAELLE	2009_ST16	EHESS, CMB
MAINSANT GWENAELLE	2011_ST52	EHESS / IRIS
MAINSANT GWENAELLE	2013_ST5	IRIS EHESS PARIS
MAINSANT GWENAELLE	2015_ST10	CESDIP, U. VERSAILLES SAINT QUENTIN
MAINSANT GWENAELLE	2017_ST26	IRISSO
MAISETTI NICOLAS	2009_ST121	CRPS, U. PARIS 1
MAISETTI NICOLAS	2013_ST19	IEP AIX EN PROVENCE CHERPA
MAISETTI NICOLAS	2017_ST60	LATTS UMR CNRS 8234
MAISETTI NICOLAS	2017_ST7	ENPC
MAISETTI NICOLAS	2017_ST9	LATTS ENPC
MAKKI SAMI	2013_ST54	CERAPS, U. LILLE 2
MALIE ANAIS	2017_ST47	LASSP, IEP TOULOUSE, ET INRA CESAER
MALIGNER BERNARD	2009_ST4	CERSA
MALJEAN SANDRINE	2015_ST56	DUBOIS CERIC DICE CNRS/AIX MARSEILLE U.
MALLARD ALEXANDRE	2013_ST16	CSI, MINES PARISTECH
MALLATRAIT CLEMENCE	2013_ST18	U. LYON 3 ET INSTITUT EDS U. LAVAL (CANADA) CANADA
MALMANCHE HELENE	2017_ST27	EHESS PARIS
MANCHON PIERRE YVES	2009_ST47	MANCHON PIERRE YVES CENTRE DE RECHERCHES SUR LE XIXEME SIECLE U. PARIS 1
MANDRET ANTOINE	2011_ST50	DEGEILH CEE, SCIENCES PO PARIS
MANDRET ANTOINE	2017_ST31	DEGEILH CEE DE SCIENCES PO/LASSP TOULOUSE
MANGENOT MICHEL	2009_ST19	GSPE-PRISME, IEP STRASBOURG
MANGENOT MICHEL	2013_ST56	SAGE, U. STRASBOURG
MANGENOT MICHEL	2017_ST40	INSTITUT DETUDES EUROPEENNES DE LU. PARIS 8, CRESPPA LABTOP CENTRE DE RECHERCHES SOCIOLOGIQUES ET POLITIQUES DE PARIS LABORATOIRE DES THEORIES DU POLITIQUE,
MANGIN MAILYS	2015_ST27	CERAPS, U. LILLE 2
MANGIN MAILYS	2017_ST69	CERAPS, U. LILLE 2
MANIER MARION	2011_ST53	ET LAURA SCHUFT U. NICE UNITE DE RECHERCHES MIGRATIONS ET SOCIETE URMIS / IRD UMR 205
MANIN BERNARD	2015_ST24	EHESS/NEW YORK UNIVERSITY
MANSBRIDGE JANE	2015_ST24	NA
MANTEROLA JEAN JACQUES	2013_ST9	ETCHARRY FORMATION DEVELOPPEMENT
MARCHADOUR GUENOLE	2013_ST11	U. LYON 2
MARCHAL PIERRE LUC	2015_ST56	NA
MARCHAND CHRISTELE	2011_ST20	GUILLAUME MARREL ET MAGALI NONJON U. AVIGNON ET DES PAYS DE VAUCLUSE, LABORATOIRE BIENS, NORMES, CONTRATS
MARCHAND CHRISTELE	2011_ST35	LAGIER CURAPP U. AVIGNON ET DES PAYS DE VAUCLUSE
MARCHAND CHRISTELE	2013_ST27	LAGIER U. AVIGNON
MARCHAND CHRISTELE	2015_ST10	LAGIER CHERPA AVIGNON
MARCHAND CHRISTELE	2015_ST4	LBNC
MARCON TAINA	2017_ST28	NA
MARCUS GEORGE	2015_ST8	GEORGE E MARCUS WILLIAMS
MARCUS GEORGE	2015_ST9	SINTERESSENT AUX LIENS ENTRE ANXIETE, COLERE ET POLARISATION POLITIQUE A LENCONTRE DE MODELES ATTRIBUANT LEXTREMISME A LA DIVISION DE LESPACE IDEOLOGIQUE, AUX CADRAGES MEDIATIQUES ET AUX CONDITIONS ECONOMIQUES, ILS USENT DE LA THEORIE DE LINTELLIGENCE AFFECTIVE POUR EVALUER LE ROLE DES EMOTIONS DANS LADOPTION DUNE POSITION EXTREME ILS TESTENT DEUX HYPOTHESES : LINDIGNATION RENFORCE LES OPINIONS ETABLIES DONC LEXTREMISME, TANDIS QUE LINQUIETUDE STIMULE LE PROCESSUS DELIBERATIF, ACCROISSANT DE CE FAIT LA PROBABILITE DADOPTER UNE ATTITUDE MODEREE SE SITUANT DANS LE PROLONGEMENT DES TRAVAUX PIONNIERS DE STANLEY MILGRAM, LAURENT BEGUE MONTRE LES APPORTS DE LA PSYCHOLOGIE SOCIALE A LA REFLEXION POLITIQUE ET PHILOSOPHIQUE SUR LOBEISSANCE A PARTIR DUN DISPOSITIF EXPERIMENTAL IMITANT UN JEU DE TELEREALITE IL ETABLIT QUE LA TELEVISION REPRESENTE UNE AUTORITE POUVANT CONDUIRE DES TELESPECTATEURS A INFLIGER VOLONTAIREMENT DES MAUVAIS TRAITEMENTS A DES INCONNUS CETTE AUTORITE NEXPLIQUE CEPENDANT PAS A ELLE SEULE LA DESTRUCTIVITE HUMAINE IL EST EN EFFET NECESSAIRE DARTICULER PLUSIEURS JEUX DE VARIABLES : LES PRESSIONS CIRCONSTANCIELLES AUTORITE DE LANIMATEUR TELE ET PUBLIC
MARICHALAR OLIVIER	2015_ST47	CMH ETT
MARICHALAR PASCAL	2011_ST23	CMH / CNRS EHESS ENS,
MARIE INES	2017_ST55	NA
MARIE JEAN LOUIS	2015_ST8	TRIANGLE
MARIE JEAN LOUIS	2015_ST9	IEP LYON
MARIETTE AUDREY	2017_ST12	LAURE PITTI U. PARIS 8/CRESPPA CSU
MARIJNEN ANNE	2013_ST14	NA
MARIJNEN ANNE	2013_ST41	NA
MARIN ANAIS	2013_ST48	FINNISH INSTITUTE OF INTERNATIONAL AFFAIRS FIIA
MARIOT NICOLAS	2009_ST47	CNRS CURAPP
MARIOT NICOLAS	2009_ST5	CNRS CURAPP
MARIOT NICOLAS	2011_ST1	CURAPP ESS CNRS/UPJV
MARIOT NICOLAS	2011_ST35	CNRS CURAPP
MARIOT NICOLAS	2013_ST10	CURAPP
MARIOT NICOLAS	2013_ST42	CURAPP, U. DAMIENS
MARIOT NICOLAS	2015_ST12	CESSP PARIS 1
MARNEUR VICTOR	2017_ST47	CED ET IEP BORDEAUX
MARQUES BERENGERE	2009_ST43	PEREIRA U. LIBRE DE BELGIQUE
MARREL GUILLAUME	2011_ST20	ET MAGALI NONJON U. AVIGNON ET DES PAYS DE VAUCLUSE, LABORATOIRE BIENS, NORMES, CONTRATS
MARREL GUILLAUME	2011_ST40	CEPEL
MARREL GUILLAUME	2013_ST10	U. AVIGNON ET DES PAYS DE VAUCLUSE/LBNC
MARREL GUILLAUME	2015_ST18	AVIGNON LBNC CHERPA
MARREL GUILLAUME	2015_ST19	U DAVIGNON, LBNC CHERPA
MARREL GUILLAUME	2015_ST7	U. AVIGNON, LBNC / CHERPA
MARTEU ELISABETH	2011_ST53	U. PARIS 1 /SCIENCES PO PARIS
MARTEU ELISABETH	2013_ST46	SCIENCES PO PARIS
MARTIGNY VINCENT	2013_ST26	CERI, SCIENCES PO PARIS
MARTIGNY VINCENT	2017_ST33	ECOLE POLYTECHNIQUE, CEVIPOF, SCIENCES PO PARIS
MARTIN BENOIT	2013_ST47	CERI, SCIENCES PO / ATELIER DE CARTOGRAPHIE
MARTIN BENOIT	2017_ST73	CERI, SCIENCES PO PARIS
MARTIN CELINE	2017_ST36	U. CERGY PONTOISE, EMA
MARTIN CELINE	2017_ST51	U. CERGY PONTOISE
MARTIN CLAUDE	2011_ST20	CRAPE RENNES
MARTIN FABIENNE	2015_ST8	JUCHAT GRESEC, THIERRY MENISSIER PLC)
MARTIN MEDERIC	2013_ST52	MAZE CERI, SCIENCES PO PARIS
MARTIN PIERRE	2009_ST17	IEP GRENOBLE
MARTINACHE IGOR	2011_ST51	CERAPS, U. LILLE 2
MARTINACHE IGOR	2013_ST30	CERAPS, U. LILLE 2
MARTINACHE IGOR	2013_ST36	CERAPS, U. LILLE 2
MARTINACHE IGOR	2013_ST42	CERAPS, U. LILLE 2
MARTINAIS EMMANUEL	2011_ST11	RIVES, ENTPE
MARTINAIS EMMANUEL	2017_ST22	RIVES, ENTPE
MARTINAIS EMMANUEL	2017_ST7	RIVES, ENTPE
MARTINS PAZ EZEQUIEL	2015_STRC20IPSA	UNIVERSIDADE FEDERAL DO PARANA
MARTON SILVIA	2015_STRC20IPSA	U. BUCAREST
MARTOR AMANDINE	2015_ST13	CLERSE, U. LILLE I
MARTY EMMANUEL	2017_ST44	U. NICE
MARTY FREDERIC	2015_ST40	GREDEG U. NICE
MARTY THOMAS	2011_ST36	U. STRASBOURG / GSPE
MARTY THOMAS	2013_ST28	U. STRASBOURG
MARTYNAU ALEXANDER	2015_ST45	HEINRICH HEINE UNIVERSITY DUSSELDORF
MAS SIMON	2009_ST20	CRPS
MAS SIMON	2009_ST45	PARIS I PANTHEON SORBONNE, CRPS
MASCLET CAMILLE	2013_ST35	IEPI, U. LAUSANNE (SUISSE)
MASCLET OLIVIER	2009_ST34	PARIS V
MASSARDIER GILLES	2011_ST15	IEP LYON
MASSARDIER GILLES	2011_ST18	UMR ART DEV, CIRAD
MASSARDIER GILLES	2013_ST40	CIRAD
MASSARDIER GILLES	2015_ST30	CIRAD
MASSARDIER GILLES	2017_ST23	CIRAD, MONTPELLIER
MASSEI SIMON	2017_ST52	IEP STRASBOURG & PARIS 1 PANTHE ON SORBONNE, CESSP-CRPS
MASSERAN ANNE	2017_ST17	CREM
MASSICARD ELISE	2015_ST3	CERI, SCIENCES PO PARIS
MASSICARD ELISE	2015_ST53	CERI, SCIENCES PO PARIS
MASSICARD ELISE	2017_ST65	NA
MASTIN JEAN LUC	2009_ST33	IRHIS, U. LILLE 3
MATAGNE GEOFFROY	2009_ST14	U. LIEGE (BELGIQUE)
MATHIEU ILINCA	2011_ST8	U. CLERMONT FERRAND
MATHIEU LILIAN	2015_ST11	CMW, ENS LYON
MATHIEU LILIAN	2017_ST26	CMW, ENS LYON
MATHIEU LILIAN	2017_ST64	CMW, ENS LYON
MATHIEU MARIE	2013_ST5	CSU CRESPPA / IREF U. QUEBEC MONTREAL (CANADA)
MATHIEU MARILOU	2017_ST21	[INDEPENDANT]
MATHIEU ROMAIN	2015_ST10	IRENEE, U. LORRAINE
MATIGNON EMILIE	2015_ST52	NA
MATIJASCIC MILKO	2009_ST23	IPEA BRASILA (BRESIL)
MATONTI FREDERIQUE	2009_ST50	CRPS, U. PARIS 1
MATONTI FREDERIQUE	2009_ST6	CRPS, U. PARIS 1
MATONTI FREDERIQUE	2009_ST9	CRPS, U. PARIS 1
MATONTI FREDERIQUE	2013_ST33	CESSP, U. PARIS 1
MATONTI FREDERIQUE	2013_ST58	CESSP, U. PARIS 1
MATONTI FREDERIQUE	2015_ST13	CRPS, U. PARIS 1
MATONTI FREDERIQUE	2015_ST23	CRPS, U. PARIS 1
MATONTI FREDERIQUE	2015_ST52	CEESP, U. PARIS 1
MATONTI FREDERIQUE	2017_ST26	CESSP, U. PARIS 1
MATTHEY LAURENT	2009_ST26	INSTITUT DE GEOGRAPHIE, U. LAUSANNE (SUISSE)
MATTINA CESARE	2011_ST12	LABORATOIRE MEDITERRANEEN DE SOCIOLOGIE, U. AIX MARSEILLE
MATUKHNO NATALIA	2015_STRC20IPSA	U. STRATHCLYDE (ROYAUME-UNI)
MATUSZEWICZ REGIS	2017_ST44	CERAPS, U. LILLE 2 / U. REIMS
MATYJASIK NICOLAS	2009_ST122	CERAPS, U. LILLE 2
MATZ KEVIN	2013_ST42	SAGE, U. STRASBOURG
MAUGERE AMELIE	2009_ST15	U. REIMS
MAUPIN AGATHE	2009_ST30	DEPARTEMENT DE GEOGRAPHIE, U. BORDEAUX 3
MAURY CAROLINE	2009_ST39	LEST, IEP AIX EN PROVENCE
MAWDSLEY JOCELYN	2009_ST21	U. NEWCASTLE
MAYANCE PIERRE	2017_ST14	U. PARIS 1
MAYANCE PIERRE	2017_ST49	PARIS I PANTHEON SORBONNE, CENTRE EUROPEEN DE SOCIOLOGIE ET DE SCIENCE POLITIQUE CESSP, CNRS
MAYAUX PIERRE LOUIS	2009_ST14	SCIENCES PO PARIS
MAYAUX PIERRE LOUIS	2009_ST25	CERI, SCIENCES PO PARIS / OPALC
MAYAUX PIERRE LOUIS	2011_ST15	NA
MAYAUX PIERRE LOUIS	2015_ST32	NA
MAYAUX PIERRE LOUIS	2017_ST16	NA
MAYAUX PIERRE LOUIS	2017_ST7	NA
MAYER NONNA	2009_ST8	CEE, SCIENCES PO PARIS
MAYER NONNA	2011_ST34	CEE, SCIENCES PO PARIS
MAYER NONNA	2013_ST27	CEE, SCIENCES PO PARIS
MAYER NONNA	2013_ST41	CEE, SCIENCES PO PARIS
MAYER NONNA	2015_ST1	CEE, SCIENCES PO PARIS
MAYER NONNA	2017_ST51	CEE, SCIENCES PO PARIS
MAYRHOFER MICHAELA	2009_ST43	U. VIENNE (AUTRICHE)
MAZE CAMILLE	2009_ST1	IEP BORDEAUX
MAZE CAMILLE	2017_ST72	CNRS BREST, FRANCE
MAZEAU GUILLAUME	2015_ST47	IHMC/IHRF, U. PARIS 1
MAZEAUD ALICE	2011_ST19	LASAPE, U. LA ROCHELLE
MAZEAUD ALICE	2013_ST42	CEJEP, U. LA ROCHELLE
MAZEAUD ALICE	2015_ST19	CEJEP, U. LA ROCHELLE
MAZEAUD ALICE	2015_ST22	CEJEP, U. LA ROCHELLE
MAZEAUD ALICE	2017_ST6	CEJEP, U. LA ROCHELLE
MAZEAUD ALICE	2017_ST9	CEJEP, U. LA ROCHELLE
MAZIERES ADRIEN	2011_ST39	SPIRIT, IEP BORDEAUX
MAZIERES ADRIEN	2013_ST6	CED, IEP BORDEAUX
MAZOUZ SARAH	2017_ST2	INED
MAZOYER HAROLD	2009_ST45	IEP LYON, TRIANGLE
MAZOYER HAROLD	2013_ST16	PACTE, U. GRENOBLE
MAZOYER HAROLD	2013_ST2	PACTE, U. GRENOBLE
MAZUR AMY	2009_ST14	WASHINGTON STATE UNIVERSITY
MAZUR AMY	2009_ST15	WASHINGTON STATE UNIVERSITY
MAZZOLENI OSCAR	2009_ST17	USTAT
MAZZONE FANNY	2013_ST46	U. TOULOUSE II LE MIRAIL
MBAYE ELHADJI MAMADOU	2009_ST27	MBAYE ELHADJI MAMADOU IEP GRENOBLE
MCANDREWS JOHN	2017_ST38	U. TORONTO
MCCALL CATHIE	2013_ST9	NA
MCLEOD ALEX	2013_ST58	NA
MCNULTY TONY	2017_ST38	QUEEN MARY U. LONDON (ROYAUME-UNI)
MEASSON LUDOVIC	2009_ST121	PACTE
MEDE HARDY	2017_ST66	U. PANTHEON SORBONNE CESSP-CRPS
MEDOU NGOAI FRED JEREMIE	2015_STGREPO	NA
MEGIE ANTOINE	2009_ST31	U. MONTREAL (CANADA)
MEGIE ANTOINE	2011_ST46	U. ROUEN CREDHO DI
MEGIE ANTOINE	2011_ST9	U. ROUEN, CREDHO DI
MEGRET FREDERIC	2011_ST5	MCGILL UNIVERSITY
MEIER PETRA	2013_ST31	UNIVERSITEIT ANTWERPEN ET EMANUELA LOMBARDO, UNIVERSIDAD COMPLUTENSE DE MADRID
MEIER PETRA	2013_ST65	U. DANVERS
MEIJER HUGO	2013_ST1	CERI, SCIENCES PO PARIS
MEIJER HUGO	2017_ST69	IRSEM/INSTITUT UNIVERSITAIRE EUROPEEN IUE
MEILLERAND MARIE CLOTILDE	2009_ST45	U. LYON, INSTITUT DURBANISME DE PARIS
MEILLERAND MARIE CLOTILDE	2011_ST26	ANR MOSARE, TRIANGLE
MELCHIOR HUGO	2015_ST13	CERHIO, U. RENNES 2
MELO MARCUS ANDRE	2015_STRC20IPSA	NA
MENDILOW JONATHAN	2013_ST41	RIDER UNIVERSITY
MENDILOW JONATHAN	2015_STRC20IPSA	RIDER UNIVERSITY, IPSA
MENEBOODE VICTOR	2013_ST24	NA
MENISSIER THIERRY	2009_ST50	UPMF GRENOBLE 2
MENISSIER THIERRY	2009_ST51	U. PIERRE MENDES FRANCE GRENOBLE 2, PHILOSOPHIE
MENISSIER THIERRY	2011_ST47	DEPARTEMENT DE PHILOSOPHIE, U. PIERRE MENDES FRANCE GRENOBLE 2 ET IEP GRENOBLE
MENISSIER THIERRY	2015_ST8	PLC)
MENNELL STEPHEN	2009_ST44	SCHOOL OF SOCIOLOGY, UNIVERSITY COLLEGE DUBLIN, IRLANDE
MENU SABINE	2009_ST121	CEE/SCIENCES PO PARIS
MEON PIERRE GUILLAUME	2009_ST4	MEON PIERRE GUILLAUME U. LIBRE BRUXELLES, DULBEA
MERAND FREDERIC	2009_ST21	U. MONTREAL (CANADA)
MERCENIER HEIDI	2013_ST6	U. SAINT LOUIS BRUXELLES (BELGIQUE)
MERCENIER HEIDI	2015_ST8	U. SAINT LOUIS BRUXELLES (BELGIQUE)
MERCHANT JENNIFER	2017_ST27	U. PARIS 2
MERLIN AUDE	2009_ST47	BRUXELLES CEVIPOL
MERLIN AUDE	2015_ST52	CEVIPOL/ULB
MERLIN JULIEN	2017_ST16	CSI MINES PARIS TECH
MERMET LAURENT	2011_ST17	AGROPARISTECH ENGREF/CIRED
MERRIEN FRANCOIS XAVIER	2009_ST23	NA
MERRILL ROBERTO	2013_ST62	CEHUM CEVIPOF, SCIENCES PO PARIS
MERRILL ROBERTO	2013_ST63	NA
MESGARZADEH SAMINA	2013_ST11	ETT/ ENS/EHESS ; CRAPUL/IEPI, U. LAUSANNE (SUISSE)
MESQUITA RAFAEL	2017_ST69	NA
MESZAROS THOMAS	2009_ST31	IHEID GENEVE (SUISSE)
MESZAROS THOMAS	2009_ST52	IHEID GENEVE (SUISSE) / U. LYON 3
MESZAROS THOMAS	2013_ST51	U. LYON 3
MESZAROS THOMAS	2015_ST60	U. LYON 3
MESZAROS THOMAS	2017_ST15	U. LYON 3
METAIS JULIE	2013_ST30	EHESS IRIS / U. MONTREAL (CANADA)
MEUNIER JULES MATHIEU	2013_ST8	NA
MEURET EVE	2015_ST14	CAMPFORT CENS, U. NANTES
MEVELLEC ANNE	2009_ST121	U. OTTAWA (CANADA)
MEVELLEC ANNE	2009_ST122	U. OTTAWA (CANADA)
MEVELLEC ANNE	2013_ST14	U. OTTAWA (CANADA)
MEVELLEC ANNE	2015_ST34	U. OTTAWA (CANADA)
MEVELLEC ANNE	2017_ST36	U. OTTAWA (CANADA)
MEYER ALIX	2013_ST1	IEP LYON
MEYER CHRISTOPH	2017_ST69	KINGS COLLEGE LONDON (ROYAUME-UNI), ET ERIC SANGAR, FNRS / U. NAMUR
MIAS ARNAUD	2011_ST39	U. ROUEN, GRIS/IDHE
MIAS COLINE	2017_ST22	IEP AIX EN PROVENCE, CHERPA
MIAZ JONATHAN	2013_ST11	CRAPUL/IEPI GSPE-PRISME, UNIVERSITES DE LAUSANNE ET DE STRASBOURG
MIAZ JONATHAN	2013_ST5	IEPI/CRAPUL U. LAUSANNE / GSPE-PRISME U. STRASBOURG
MICHALOWSKI INES	2017_ST58	WZB BERLIN SOCIAL SCIENCE CENTER
MICHEL HELENE	2009_ST33	CERAPS, U. LILLE 2
MICHEL HELENE	2011_ST28	GSPE, U. STRASBOURG
MICHEL HELENE	2017_ST24	GSPE, U. STRASBOURG
MICHEL KARINE	2015_ST52	IDEMEC, AIX
MICHEL LAURA	2009_ST33	CEPEL, U. MONTPELLIER 1
MICHEL LAURA	2017_ST14	CEPEL, U. MONTPELLIER 1
MICHON SEBASTIEN	2011_ST40	PRISME GSPE
MICHON SEBASTIEN	2013_ST34	ET PIERRE EDOUARD WEILL GSPE-PRISME, CNRS, U. STRASBOURG
MICHON SEBASTIEN	2013_ST36	CNRS SAGE
MICHON SEBASTIEN	2015_ST10	SAGE, CNRS
MICHON SEBASTIEN	2015_ST20	SAGE, STRASBOURG
MICHON SEBASTIEN	2015_ST42	SAGE U. STRASBOURG
MICHON SEBASTIEN	2017_ST37	U. STRASBOURG
MICHON SEBASTIEN	2017_ST38	U. STRASBOURG
MICHONOVA ROUMIANA	2009_ST46	CENTRE NANTAIS DE SOCIOLOGIE, U. NANTES
MICHONOVA ROUMIANA	2009_ST8	CENTRE NANTAIS DE SOCIOLOGIE CENS
MIERZEJEWSKI STEPHAN	2013_ST30	U. ARTOIS LABORATOIRE RECIFES
MIEYAA YOAN	2017_ST46	HUET GUEYE, M, FOURCHARD, F, BEAUMATIN, A, & LARROZE MARRACQ, H LABORATOIRE PSYCHOLOGIE DE LA SOCIALISATION : DEVELOPPEMENT ET TRAVAIL, U. TOULOUSE JEAN JAURES
MIKAIL BARAH	2009_ST30	INSTITUT DE RELATIONS INTERNATIONALES ET STRATEGIQUES
MILANI CARLOS	2013_ST48	NA
MILET MARC	2009_ST11	CECP, CERSA
MILET MARC	2009_ST33	PARIS II
MILET MARC	2017_ST24	NA
MILLAR JEFF	2013_ST14	YORK UNIVERSITY, CANADA
MILLE MURIEL	2011_ST52	EHESS / CEMS IMM
MILLE MURIEL	2015_ST17	CMH
MILLER PETER	2015_ST31	LONDON SHOOL OF ECONOMICS AND POLITICAL SCIENCE (ROYAUME-UNI)
MINK GEORGES	2013_ST43	ISP
MINK GEORGES	2015_ST45	COLLEGE EUROPE BRUGES (BELGIQUE) / ISP
MINKENBERG MICHAEL	2013_ST27	EUROPA UNIVERSITAT VIADRINA
MINOC JULIE	2011_ST52	ENS EHESS PARIS
MINONZIO JEROME	2013_ST15	U. LYON 3 ET LABORATOIRE INTERDISCIPLINAIRE DEVALUATION DES POLITIQUES PUBLIQUES, SCIENCES PO PARIS
MINONZIO JEROME	2015_ST38	INSTITUT DE FORMATION ET DE RECHERCHE SUR LES ORGANISATIONS SANITAIRES ET SOCIALES, U. LYON 3 & LIEPP, SCIENCES PO PARIS
MIRANDA FABIOLA	2015_ST37	PEREZ IEP GRENOBLE PACTE
MIRMAN YVES	2015_ST50	CHERPA/IEP AIX EN PROVENCE IFPO
MIROUSE STEPHANIE	2009_ST28	NADINE HASCHAR NOE U. TOULOUSE
MISCHI JULIAN	2011_ST13	INRA
MISCHI JULIAN	2015_ST14	NA
MISSET SEVERINE	2015_ST14	CENS, U. NANTES
MITSUSHIMA NAGISA	2009_ST38	CRPS, PARIS 1
MITSUSHIMA NAGISA	2011_ST26	MITSUSHIMA NAGISA, CRPS, U. PARIS 1)
MITSUSHIMA NAGISA	2017_ST59	CERAPS, U. LILLE 2
MOALIC MAELLE	2013_ST24	MINNAERT CRAPE, IEP RENNES
MOALIC MAELLE	2015_ST14	CRAPE, U. RENNES 1
MOALLIC MAELLE	2017_ST48	CRAPE, U. RENNES 1
